Country,Export,Percentage
Kazakhstan,"21,227",43%
Canada,7351,15%
Namibia,5613,11%
Australia,4553,9%
Uzbekistan (est.),3300,7%
Russia,2508,5.10%
Niger,2020,4.10%
China (est.),1700,3.40%
India (est.),600,1.20%
South Africa (est.),200,0.40%
Ukraine,100,0.20%
USA,75,0.15%
Pakistan (est.),45,0.09%
Brazil,43,0.08%
Iran (est.),20,0.04%
