All measured in per kWh,Coal Power,Nuclear Power,Natural Gas
Greenhouse Gas Emissions (C02 in grams),1050,35,450
Air Pollution (various gasses in grams),5.0845,0,4.55
Waste (g),34.25,0.03,0
